username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
InsJournal;2017-12-31 12:15;0;0;" - World > Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines o... http:// ow.ly/PRaA50fYFhn";;;;"947320321937477642";https://twitter.com/InsJournal/status/947320321937477642
DrAlexConcorde;2017-12-31 12:15;0;0;"World: Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offic... http:// ow.ly/Xsdf50fYFhj";;;;"947320311413866496";https://twitter.com/DrAlexConcorde/status/947320311413866496
DrAlexConcorde;2017-12-31 12:15;0;0;"TopNews: Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices of... http:// ow.ly/AftS50fYFkl";;;;"947320309048324096";https://twitter.com/DrAlexConcorde/status/947320309048324096
nowlifestyle3;2017-12-31 12:15;0;0;"https:// tinyurl.com/2018isyourtime #nowlifestyle Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the so... http:// ow.ly/vlZ350fYFgs";;;#nowlifestyle;"947320308134039552";https://twitter.com/nowlifestyle3/status/947320308134039552
emet_news_press;2017-12-31 12:15;0;1;"#Israel # #NEWS broadcast by #EMET_NEWS_PRESS : Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 3... http:// ow.ly/Nim050fYFhE";;;#Israel # #NEWS #EMET_NEWS_PRESS;"947320304740814849";https://twitter.com/emet_news_press/status/947320304740814849
TopNyt;2017-12-31 12:12;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses http:// ift.tt/2CtpnTO DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices of an American m…";;;;"947319465934573568";https://twitter.com/TopNyt/status/947319465934573568
nochebur;2017-12-31 12:02;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines office...";;;;"947317036983521281";https://twitter.com/nochebur/status/947317036983521281
xBot;2017-12-31 12:00;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices http:// ow.ly/OcrL50fYF94";;;;"947316597781393408";https://twitter.com/xBot/status/947316597781393408
puttnpdx;2017-12-31 12:00;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices http:// ow.ly/xBKR50fYF3d";;;;"947316570082160640";https://twitter.com/puttnpdx/status/947316570082160640
zyiteblog;2017-12-31 12:00;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses - DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices http:// ow.ly/JYkK50fYF91";;;;"947316568073089026";https://twitter.com/zyiteblog/status/947316568073089026
amandasome;2017-12-31 12:00;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses: DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices of… http:// activeation.com/AcUX #worldNews pic.twitter.com/kPB2EOxHLA";;;#worldNews;"947316409536692224";https://twitter.com/amandasome/status/947316409536692224
VCNnews;2017-12-31 12:00;0;0;"Probe into deadly fire at U.S. firm’s Philippines offices focuses on possible safety lapses: DAVAO CITY, Philippines - A government investigator into a blaze that led to the deaths of 37 staff at the southern Philippines offices of… http://www. .com/article/us-phi lippines-fire-insight/probe-into-deadly-fire-at-u-s-firms-philippines-offices-focuses-on-possible-safety-lapses-idUSKBN1EP02N?feedType=RSS&feedName=worldNews&utm_source=dlvr.it&utm_medium=twitter&utm_campaign=vcnnews … #worldNews pic.twitter.com/mtnQ0bSs2M";;;#worldNews;"947316395661934592";https://twitter.com/VCNnews/status/947316395661934592
PHILAlerts;2017-12-31 10:46;1;0;"TYPHOON NEWS: Japan offers aid for typhoon, Davao mall fire victims";;;;"947297978246684672";https://twitter.com/PHILAlerts/status/947297978246684672
RandomFilThots;2017-12-31 10:25;0;1;"Would 2nd option give the same response time as the Davao mall fire ?";;;;"947292635638636545";https://twitter.com/RandomFilThots/status/947292635638636545
moses_faris;2017-12-31 09:16;0;0;"New post (Safety failings identified at fire ravaged Davao City mall) has been published on Berita Menarik Terbaru - http://www. terbaru.biz/safety-failing s-identified-at-fire-ravaged-davao-city-mall/ … pic.twitter.com/M9RIvuXHxF";;;;"947275318447898625";https://twitter.com/moses_faris/status/947275318447898625
Fire_Horse66;2017-12-31 09:08;0;0;""To the 37 call center employees of SSI who were trapped and died at the NCCC Mall Davao last December 23, 2017.... https:// fb.me/7AngysTy8";;;;"947273332944015360";https://twitter.com/Fire_Horse66/status/947273332944015360
NofNewsFilipino;2018-01-01 06:58;0;0;"Metro Manila contends with series of fires at start of new year Residents in different parts of Metro Manila ... https:// goo.gl/NokfA1";;;;"947602797851054080";https://twitter.com/NofNewsFilipino/status/947602797851054080
NofNewsFilipino;2018-01-01 06:47;0;0;"Metro Manila contends with series of fires at start of new year Residents in different parts of Metro Manila ... https:// goo.gl/kGeyyg";;;;"947600160430874625";https://twitter.com/NofNewsFilipino/status/947600160430874625
NofNewsFilipino;2018-01-01 04:53;0;0;"Metro Manila contends with series of fires at start of new year Residents in different parts of Metro Manila ... https:// goo.gl/RFvJXw";;;;"947571461153099776";https://twitter.com/NofNewsFilipino/status/947571461153099776
NofNewsFilipino;2018-01-01 04:49;0;0;"Fourth alarm fire put out in Caniogan, Pasig MANILA , Philippines â€“ Firefighters put out a ... https:// goo.gl/1KAWLU";;;;"947570368650215424";https://twitter.com/NofNewsFilipino/status/947570368650215424
manilainformer;2018-01-01 02:24;0;0;"Metro Manila contends with series of fires at start of new year https:// manilainformer.com/281043/metro-m anila-contends-with-series-of-fires-at-start-of-new-year/ … pic.twitter.com/ndQ9KJjqNE";;;;"947533864448258051";https://twitter.com/manilainformer/status/947533864448258051
